league,division,city,team
NBA,Atlantic,Boston,Celtics
NBA,Atlantic,Brooklyn,Nets
NBA,Atlantic,New York,Knicks
NBA,Atlantic,Philadelphia,76ers
NBA,Atlantic,Toronto,Raptors
NBA,Central,Chicago,Bulls
NBA,Central,Cleveland,Cavaliers
NBA,Central,Detroit,Pistons
NBA,Central,Indiana,Pacers
NBA,Central,Milwaukee,Bucks
NBA,Southeast,Atlanta,Hawks
NBA,Southeast,Charlotte,Hornets
NBA,Southeast,Miami,Heat
NBA,Southeast,Orlando,Magic
NBA,Southeast,Washington,Wizards
NBA,Northwest,Denver,Nuggets
NBA,Northwest,Minnesota,Timberwolves
NBA,Northwest,Oklahoma City,Thunder
NBA,Northwest,Portland,Trail Blazers
NBA,Northwest,Utah,Jazz
NBA,Pacific,Golden State,Warriors
NBA,Pacific,LA,Clippers
NBA,Pacific,Los Angeles,Lakers
NBA,Pacific,Phoenix,Suns
NBA,Pacific,Sacramento,Kings
NBA,Southwest,Dallas,Mavericks
NBA,Southwest,Houston,Rockets
NBA,Southwest,Memphis,Grizzlies
NBA,Southwest,New Orleans,Pelicans
NBA,Southwest,San Antonio,Spurs
